,name,community
0,Albania,4
1,Bahamas,4
2,Andorra,2
3,British Virgin Islands,0
4,Cayman Islands,5
5,Costa Rica,2
6,Hong Kong,5
7,Nevada,2
8,Niue,2
9,Panama,2
10,Samoa,5
11,Seychelles,5
12,United Kingdom,0
13,Uruguay,0
14,Angola,0
15,Bermuda,5
16,Antigua and Barbuda,1
17,Barbados,1
18,Saint Kitts and Nevis,5
19,Argentina,2
20,New Zealand,5
21,Aruba,0
22,British Anguilla,5
23,Australia,5
24,Cook Islands,0
25,Isle of Man,4
26,Austria,5
27,Azerbaijan,4
28,Cyprus,0
29,Malta,0
30,Netherlands Antilles,5
31,Wyoming,4
32,Bahrain,0
33,United Arab Emirates,5
34,Bangladesh,0
35,Belarus,0
36,Belgium,4
37,Belize,2
38,Mauritius,0
39,Jersey,0
40,Liberia,1
41,Liechtenstein,0
42,Netherlands,1
43,Singapore,0
44,Turks and Caicos Islands,1
45,United States,0
46,Bolivia,2
47,Botswana,5
48,Brazil,2
49,State of Delaware,5
50,Brunei,0
51,Bulgaria,5
52,Cameroon,5
53,Canada,1
54,Gibraltar,0
55,Grenada,5
56,Guernsey,0
57,Luxembourg,2
58,Marshall Islands,1
59,Saint Vincent and the Grenadines,1
60,US Virgin Islands,1
61,Central African Republic,0
62,Chad,0
63,Chile,2
64,China,5
65,Labuan,6
66,Colombia,2
67,Croatia,1
68,Cuba,0
69,Curaçao,1
70,Czech Republic,0
71,Côte d'Ivoire,2
72,Denmark,4
73,Djibouti,2
74,Dominica,2
75,Dominican Republic,2
76,Ecuador,2
77,Egypt,2
78,El Salvador,2
79,Estonia,0
80,Fiji,0
81,Finland,4
82,France,5
83,French Guiana,0
84,Georgia,5
85,Germany,2
86,Ghana,4
87,Greece,2
88,Guam,0
89,Guatemala,2
90,Guyana,1
91,Haiti,2
92,Honduras,2
93,Thailand,0
94,Hungary,5
95,Iceland,0
96,India,5
97,Indonesia,0
98,Iran,2
99,Ireland,4
100,Israel,5
101,Italy,5
102,Jamaica,1
103,Japan,5
104,Jordan,0
105,Kazakhstan,0
106,Kenya,0
107,Kuwait,2
108,Kyrgyzstan,4
109,Latvia,0
110,Lebanon,5
111,Lesotho,5
112,Libya,3
113,Lithuania,2
114,Macao,0
115,Macedonia,5
116,Malawi,0
117,Malaysia,6
118,Mali,0
119,Mexico,2
120,Moldova,0
121,Monaco,2
122,Mongolia,0
123,Montenegro,0
124,Morocco,5
125,Mozambique,5
126,Namibia,5
127,Nauru,2
128,Nicaragua,2
129,Nigeria,4
130,Norway,5
131,Oman,0
132,Pakistan,4
133,Paraguay,2
134,Peru,2
135,Philippines,5
136,Poland,4
137,Portugal,2
138,Puerto Rico,1
139,Qatar,4
140,Romania,5
141,Russia,4
142,Saint Lucia,1
143,Saint Martin (French part),1
144,Saudi Arabia,0
145,Senegal,5
146,Sierra Leone,5
147,Vanuatu,0
148,Sint Maarten (Dutch part),2
149,Slovakia,2
150,Slovenia,5
151,South Africa,0
152,South Korea,5
153,Spain,2
154,Sri Lanka,0
155,Sudan,2
156,Suriname,1
157,Sweden,4
158,Switzerland,2
159,Syria,4
160,Taiwan,0
161,Tanzania,0
162,Trinidad and Tobago,1
163,Tunisia,0
164,Turkey,0
165,Uganda,0
166,Ukraine,4
167,Dubai,5
168,Uzbekistan,0
169,Venezuela,2
170,Vietnam,5
171,Yemen,2
172,Zambia,0
173,Zimbabwe,0
